Artist,Subgenre
ANTHEM,['japanese heavy metal']
AOA,"['k-pop', 'k-pop girl group']"
AP Dhillon,"['desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']"
APEK,"['pop edm', 'sky room']"
APEXAPE,['deep groove house']
APRIL,"['k-pop', 'k-pop girl group']"
ARASHI,['j-pop']
AREDREDS,['japanese heavy metal']
ARMADA 2222 DARIO,['dancehall mauricien']
ARMNHMR,"['melodic dubstep', 'pop edm']"
ARTBAT,['ukrainian electronic']
ARTIX!,"['dubstep', 'riddim dubstep']"
ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'russian edm', 'trance']"
AS IT IS,"['neon pop punk', 'pop punk', 'uk pop punk']"
ASADI,"['arab trap', 'persian alternative', 'persian electronic']"
ASCA,"['anime', 'anime rock', 'j-pixie']"
ASHE 22,"['drill francais', 'french hip hop', 'pop urbaine', 'rap francais', 'rap lyonnais']"
ASIAN KUNG-FU GENERATION,"['anime', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk']"
ASL,['kids hip hop']
ASMR HD,['asmr']
ASTERISM,['japanese heavy metal']
ASTRO,"['k-pop', 'k-pop boy group']"
ASYRAF NASIR,['malay rap']
ATB,"['german dance', 'german techno', 'german trance', 'trance']"
ATEEZ,"['k-pop', 'k-pop boy group']"
ATFC,"['deep house', 'disco house', 'vocal house']"
ATL,"['mexican pop', 'reggaeton mexicano']"
ATLAST,['dark clubbing']
ATLiens,"['brostep', 'dubstep']"
ATREOUS,['indian edm']
ATTLAS,['canadian electronic']
ATYYA,"['canadian electronic', 'glitch hop', 'psydub']"
AUDREY NUNA,"['alternative r&b', 'modern indie pop']"
AURORA,"['art pop', 'norwegian pop']"
AV,"['afrobeats', 'nigerian pop']"
AVEC,"['austrian indie', 'austrian pop', 'german indie']"
AVIWKILA,"['indonesian pop', 'javanese dangdut']"
AVOID,['metalcore']
AWOLNATION,"['la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp pop']"
AZ,"['alternative hip hop', 'hardcore hip hop', 'hip hop']"
AZ Rotator,"['abstract idm', 'spanish experimental']"
AZABIM,['riddim dubstep']
AaRON,"['french indie pop', 'french rock']"
Aabha Hanjura,"['indian folk', 'kashmiri pop']"
Aadesh Goud,['indian lo-fi']
Aaliyah,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']"
Aalson,['melodic techno']
Aami,['melodic dubstep']
Aamir Khan,['indian folk']
Aara,"['atmospheric black metal', 'swiss black metal', 'voidgaze']"
Aarhus Symfoniorkester,"['nordic orchestra', 'opera']"
Aaron Copland,"['american modern classical', 'classical', 'early modern classical']"
Aaron Flemming,['chill guitar']
Aaron Goodvin,"['alberta country', 'canadian contemporary country', 'canadian country']"
Aaron Karo,"['deep comedy', 'new comedy']"
Aaron Kwok,"['c-pop', 'cantopop', 'classic cantopop']"
Aaron Lewis,"['country', 'country road', 'outlaw country']"
Aaron Marshall,['space ambient']
Aaron May,['indie hip hop']
Aaron McDaris,['instrumental bluegrass']
Aaron Montalvo,['anime latino']
Aaron Pritchett,"['canadian contemporary country', 'canadian country', 'country road']"
Aaron Shirk,['melodic dubstep']
Aaron Shust,"['ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'worship']"
Aaron Smith,['chicago house']
Aaron Tippin,"['country', 'country road']"
Aaron Tveit,"['broadway', 'hollywood', 'show tunes']"
Aaron Watson,"['classic texas country', 'country road', 'red dirt', 'texas country']"
Aaron West and The Roaring Twenties,"['alternative emo', 'anthem emo', 'emo', 'philly indie']"
Aaron Wilburn,['clean comedy']
Aaron Yan,"['mandopop', 'taiwan idol pop']"
Aarti Mukherji,"['classic bangla pop', 'classic bollywood', 'filmi']"
Aastha Gill,"['desi pop', 'filmi', 'modern bollywood']"
Aatom,['ambient guitar']
Aazar,"['electro house', 'electronic trap']"
Ab-Soul,"['conscious hip hop', 'hip hop', 'rap']"
